Episode,Total Rewards,Experience,Priority,Decay Rate,Exploration Rate,Convergence Speed
81,17.0,17,0.4790913381807661,4.248354255291589e-18,0.44932896411722156,17.0
82,18.0,18,0.8874097985078376,2.576757109154981e-18,0.4448580662229411,18.0
83,15.0,15,0.7909478808164647,1.5628821893349888e-18,0.44043165450599925,15.0
84,13.0,13,0.6534625010641332,9.479359653504757e-19,0.43604928632153556,13.0
85,13.0,13,0.5536535268125691,5.74952226429356e-19,0.43171052342907973,13.0
86,13.0,13,0.5549101461911851,3.4872615319944465e-19,0.4274149319487267,13.0
87,16.0,16,0.6132568409701511,2.1151310375910805e-19,0.4231620823177488,16.0
88,14.0,14,0.6057799339892409,1.282891823608785e-19,0.418951549247639,14.0
89,15.0,15,0.6036919336884018,7.781132241133797e-20,0.4147829116815814,15.0
90,13.0,13,0.3143803072629577,4.719495271526123e-20,0.4106557527523455,13.0
91,10.0,10,0.7313064585473963,2.8625185805493937e-20,0.4065696597405991,10.0
92,28.0,28,0.5612336413151013,1.7362052831002947e-20,0.40252422403363597,28.0
93,15.0,15,0.5251982441035483,1.0530617357553812e-20,0.39851904108451414,15.0
94,11.0,11,0.34233305677822473,6.387142293058423e-21,0.3945537103716011,11.0
95,13.0,13,0.45065185267615043,3.873997628687187e-21,0.3906278353585211,13.0
96,14.0,14,0.3597527467068588,2.349698337452817e-21,0.3867410234545012,14.0
97,12.0,12,0.6962862339717171,1.4251640827409352e-21,0.38289288597511206,12.0
98,13.0,13,0.6970515744395741,8.644057113036095e-22,0.37908303810339883,13.0
99,14.0,14,0.5430730144473729,5.242885663363464e-22,0.37531109885139957,14.0
100,9.0,9,0.28833420806145255,3.1799709001977496e-22,0.3715766910220457,9.0
101,14.0,14,0.3235790549998013,1.9287498479639178e-22,0.36787944117144233,14.0
102,34.0,34,0.6766527866428225,1.1698459177061964e-22,0.3642189795715233,34.0
103,11.0,11,0.6525313778864896,7.095474162284704e-23,0.3605949401730783,11.0
104,22.0,22,0.7057006760480194,4.3036226246244867e-23,0.3570069605691474,22.0
105,12.0,12,0.546537843753635,2.6102790696677047e-23,0.35345468195878016,12.0
106,9.0,9,0.7172188039962147,1.583214286159632e-23,0.3499377491111553,9.0
107,10.0,10,0.47253632180505695,9.602680054508676e-24,0.3464558103300574,10.0
108,15.0,15,0.337250947915706,5.824319868470494e-24,0.34300851741870664,15.0
109,12.0,12,0.40833828864288885,3.532628572200807e-24,0.3395955256449391,12.0
110,16.0,16,0.48942300315067866,2.1426475384166538e-24,0.33621649370673334,16.0
111,12.0,12,0.1779966655531361,1.2995814250075031e-24,0.33287108369807955,12.0
112,15.0,15,0.7260894443538737,7.882359790600851e-25,0.32955896107518906,15.0
113,11.0,11,0.5167375525260015,4.780892883885469e-25,0.32627979462303947,11.0
114,12.0,12,0.6032642365705684,2.899758114878488e-25,0.3230332564222529,12.0
115,11.0,11,0.6498600985320185,1.7587922024243116e-25,0.31981902181630384,11.0
116,9.0,9,0.3334848341607671,1.0667613948338533e-25,0.31663676937905316,9.0
117,15.0,15,0.39481627558729093,6.47023492564546e-26,0.3134861808826053,15.0
118,11.0,11,0.4815142739573954,3.924395857947463e-26,0.31036694126548503,11.0
119,18.0,18,0.6811544262303028,2.3802664086944007e-26,0.30727873860113125,18.0
120,10.0,10,0.7287638460897858,1.4437045551572354e-26,0.3042212640667041,10.0
121,42.0,42,0.4259824560753366,8.75651076269652e-27,0.30119421191220214,42.0
122,12.0,12,0.5097109540128082,5.311092249679095e-27,0.2981972794298874,12.0
123,11.0,11,0.4355145567514175,3.221340285992516e-27,0.2952301669240142,11.0
124,14.0,14,0.2853238185672564,1.953841648821924e-27,0.2922925776808594,14.0
125,25.0,25,0.2491464999385841,1.185064864233981e-27,0.2893842179390506,25.0
126,20.0,20,0.5326240827136781,7.187781739060989e-28,0.2865047968601901,20.0
127,16.0,16,0.5679874890899924,4.359610000063081e-28,0.2836540264997704,16.0
128,13.0,13,0.49616564378205186,2.6442371294280543e-28,0.2808316217783798,13.0
129,17.0,17,0.4988560167125246,1.603810890548638e-28,0.27803730045319414,17.0
130,11.0,11,0.4629746042016487,9.727604774987714e-29,0.27527078308975234,11.0
131,12.0,12,0.3760025146767779,5.900090541597061e-29,0.2725317930340126,12.0
132,10.0,10,0.19595007891193947,3.578585808559134e-29,0.2698200563846868,10.0
133,12.0,12,0.3589902896169518,2.1705220113036395e-29,0.26713530196585034,12.0
134,19.0,19,0.37523545189544727,1.3164881474367883e-29,0.26447726129982396,19.0
135,10.0,10,0.3727759780582312,7.984904245686979e-30,0.261845668580326,10.0
136,13.0,13,0.3363561427019711,4.843089239878731e-30,0.2592402606458915,13.0
137,14.0,14,0.2509016492983204,2.9374821117108028e-30,0.2566607769535559,14.0
138,17.0,17,0.25851827797869453,1.7816729631100128e-30,0.25410695955280027,17.0
139,10.0,10,0.17229005562658772,1.0806392777072785e-30,0.25157855305975646,10.0
140,20.0,20,0.1839824905696395,6.554408540191793e-31,0.24907530463166816,20.0
141,15.0,15,0.23913589050870976,3.975449735908647e-31,0.24659696394160643,15.0
142,21.0,21,0.4281652023937923,2.411232150975086e-31,0.2441432831534371,21.0
143,13.0,13,0.3116030226782218,1.462486227251231e-31,0.24171401689703645,13.0
144,15.0,15,0.2497426099012188,8.870427362353295e-32,0.23930892224375455,15.0
145,13.0,13,0.35315456446842697,5.380186160021138e-32,0.23692775868212176,13.0
146,16.0,16,0.23268718401694952,3.263247861014401e-32,0.23457028809379765,16.0
147,13.0,13,0.3463571435867047,1.9792598779469045e-32,0.23223627472975883,13.0
148,13.0,13,0.3703248780042893,1.2004817995138824e-32,0.22992548518672384,13.0
149,12.0,12,0.2190154044453911,7.281290178321643e-33,0.22763768838381274,12.0
150,30.0,30,0.3087397471337726,4.416325735416545e-33,0.22537265553943872,30.0
151,9.0,9,0.3656105542134463,2.6786369618080778e-33,0.22313016014842982,9.0
152,31.0,31,0.17804925275084318,1.6246754435760975e-33,0.2209099779593782,31.0
153,12.0,12,0.1905094618465913,9.854154686111257e-34,0.21871188695221475,12.0
154,11.0,11,0.45509528639873226,5.976846942677399e-34,0.21653566731600707,11.0
155,12.0,12,0.200141059742727,3.6251409191435593e-34,0.21438110142697794,12.0
156,12.0,12,0.23244404205553063,2.1987591132394053e-34,0.21224797382674304,12.0
157,16.0,16,0.16463161399645437,1.3336148155022614e-34,0.21013607120076472,16.0
158,39.0,39,0.16216789791732195,8.088782738491285e-35,0.20804518235702046,39.0
159,14.0,14,0.2509432512737498,4.906094730649281e-35,0.20597509820488344,14.0
160,11.0,11,0.24504916209281646,2.9756968735933825e-35,0.20392561173421342,11.0
161,18.0,18,0.15548126260990175,1.8048513878454153e-35,0.20189651799465538,18.0
162,13.0,13,0.16172963804220608,1.0946977029531417e-35,0.1998876140751445,13.0
163,11.0,11,0.1939543368716705,6.639677199580735e-36,0.19789869908361465,11.0
164,11.0,11,0.3571515498500032,4.027167792140633e-36,0.19592957412690934,11.0
165,12.0,12,0.19541896696901936,2.4426007377405277e-36,0.19398004229089189,12.0
166,22.0,22,0.22785315319389626,1.4815122368763274e-36,0.19204990862075408,22.0
167,13.0,13,0.18617501038094458,8.985825944049381e-37,0.1901389801015205,13.0
168,22.0,22,0.11194778414357331,5.450178937907168e-37,0.1882470656387468,22.0
169,10.0,10,0.3684757501954001,3.3057006267607343e-37,0.18637397603940997,10.0
170,11.0,11,0.1859471449095033,2.005008781961654e-37,0.18451952399298926,11.0
171,10.0,10,0.24618456564052169,1.2160992992528256e-37,0.18268352405273466,10.0
172,16.0,16,0.23269610633354793,7.376015102518876e-38,0.1808657926171221,16.0
173,34.0,34,0.11588790258183686,4.4737793061811207e-38,0.17906614791149322,34.0
174,11.0,11,0.2130125210995399,2.7134843139867624e-38,0.17728440996987782,11.0
175,12.0,12,0.37982813905999874,1.6458114310822737e-38,0.17552040061699686,12.0
176,11.0,11,0.25177054157818,9.982350930569248e-39,0.17377394345044514,11.0
177,11.0,11,0.21586176993327474,6.054601895401186e-39,0.17204486382305054,11.0
178,17.0,17,0.3608394022523156,3.672301681915042e-39,0.17033298882540943,17.0
179,29.0,29,0.2794818246329613,2.2273635617957438e-39,0.1686381472685955,29.0
180,9.0,9,0.3198362855128445,1.3509642905558535e-39,0.1669601696670407,9.0
181,15.0,15,0.30672154989404504,8.194012623990515e-40,0.16529888822158653,15.0
182,21.0,21,0.23137964194521402,4.9699198825226136e-40,0.16365413680270405,21.0
183,8.0,8,0.19495281351961394,3.0144087850653746e-40,0.16202575093388075,8.0
184,27.0,27,0.19644492109487155,1.8283313490492594e-40,0.16041356777517274,27.0
185,10.0,10,0.16226881617903496,1.1089390193121365e-40,0.15881742610692068,10.0
186,16.0,16,0.1686186595708387,6.726055149644708e-41,0.1572371663136276,16.0
187,34.0,34,0.17636785107162598,4.0795586671775603e-41,0.1556726303679973,34.0
188,24.0,24,0.17527203451141254,2.474377409739597e-41,0.1541236618151314,24.0
189,14.0,14,0.197278568455441,1.5007857627073948e-41,0.15259010575688386,14.0
190,11.0,11,0.11783064210636113,9.10272578742244e-42,0.15107180883637084,11.0
191,13.0,13,0.22195536551547168,5.5210822770285325e-42,0.14956861922263504,13.0
192,11.0,11,0.1701681683190104,3.348705675813844e-42,0.14808038659546244,11.0
193,11.0,11,0.22651871754837954,2.031092662734811e-42,0.14660696213035015,11.0
194,15.0,15,0.0995708041957399,1.2319199726660341e-42,0.14514819848362373,15.0
195,26.0,26,0.20427644796908392,7.47197233734299e-43,0.14370394977770293,26.0
196,12.0,12,0.21880630128943784,4.5319803111231915e-43,0.1422740715865136,12.0
197,15.0,15,0.22045853804393747,2.7487850079102147e-43,0.140858420921045,15.0
198,11.0,11,0.1713524400037548,1.667222384255979e-43,0.13945685621505094,11.0
199,12.0,12,0.1669560025136212,1.0112214926104486e-43,0.13806923731089282,12.0
200,16.0,16,0.15453109143772875,6.133368390286092e-44,0.13669542544552385,16.0
201,10.0,10,0.13351394365704816,3.720075976020836e-44,0.1353352832366127,10.0
202,10.0,10,0.21494148191397142,2.256340135917036e-44,0.13398867466880493,10.0
203,13.0,13,0.15807746122249866,1.368539471173853e-44,0.13265546508012172,13.0
204,12.0,12,0.16553330306087743,8.300611482938556e-45,0.13133552114849303,12.0
205,12.0,12,0.12576852217226964,5.0345753587649823e-45,0.1300287108784259,12.0
206,48.0,48,0.15090619025538252,3.0536243137246927e-45,0.12873490358780423,48.0
207,14.0,14,0.1430513489627686,1.8521167695179754e-45,0.12745396989482075,14.0
208,18.0,18,0.15115390730144598,1.1233656060805691e-45,0.12618578170503877,18.0
209,11.0,11,0.2137948854963908,6.813556821545298e-46,0.12493021219858241,11.0
210,12.0,12,0.10004747729173469,4.132631113961384e-46,0.12368713581745483,12.0
211,12.0,12,0.17087621183285645,2.506567475899953e-46,0.1224564282529819,12.0
212,11.0,11,0.19028224529451648,1.520310024771829e-46,0.12123796643338168,11.0
213,11.0,11,0.2288457474474054,9.221146422925876e-47,0.12003162851145673,11.0
214,14.0,14,0.05745101732518444,5.592908023204021e-47,0.11883729385240965,14.0
215,9.0,9,0.14169405824629386,3.392270193026015e-47,0.11765484302177918,9.0
216,9.0,9,0.14878544947397904,2.0575158780995713e-47,0.11648415777349697,9.0
217,14.0,14,0.19246991553030104,1.2479464629129513e-47,0.11532512103806251,14.0
218,10.0,10,0.08986389184643975,7.569177914366397e-48,0.1141776169108365,10.0
219,15.0,15,0.16919477055478802,4.590938473882946e-48,0.11304153064044985,15.0
220,27.0,27,0.2209567393787869,2.7845449412643336e-48,0.11191674861732888,27.0
221,13.0,13,0.17647050075594284,1.6889118802245324e-48,0.11080315836233387,13.0
222,21.0,21,0.08297532568711909,1.0243768369090897e-48,0.10970064851551141,21.0
223,10.0,10,0.1395569692146186,6.213159586848109e-49,0.10860910882495796,10.0
224,28.0,28,0.1597947213608923,3.768471783110857e-49,0.10752843013579495,28.0
225,9.0,9,0.11960355598263953,2.2856936767186716e-49,0.1064585043792528,9.0
226,11.0,11,0.12044269911676113,1.3863432936411706e-49,0.10539922456186433,11.0
227,10.0,10,0.1150133136389138,8.408597124803643e-50,0.104350484754765,10.0
228,13.0,13,0.10547201830032664,5.100071961364906e-50,0.1033121800831002,13.0
229,15.0,15,0.11367827814675704,3.093350011308561e-50,0.10228420671553744,15.0
230,10.0,10,0.12959192555728236,1.8762116230810634e-50,0.1012664618538834,10.0
231,9.0,9,0.09358000835246974,1.1379798735078682e-50,0.1002588437228037,9.0
232,12.0,12,0.13388718895366963,6.902196834184264e-51,0.09926125155964566,12.0
233,16.0,16,0.13893508967179344,4.1863939993042314e-51,0.09827358560436154,16.0
234,10.0,10,0.06627062702554005,2.5391763142150054e-51,0.09729574708953276,10.0
235,20.0,20,0.08386129815738537,1.5400882849875202e-51,0.09632763823049303,20.0
236,14.0,14,0.11405539486126906,9.341107635091788e-52,0.09536916221554961,14.0
237,20.0,20,0.11758057739264198,5.665668176358939e-52,0.09442022319630235,20.0
238,10.0,10,0.08026560026742426,3.43640145671986e-52,0.09348072627805847,10.0
239,16.0,16,0.1375804445043312,2.0842828425817514e-52,0.09255057751034329,16.0
240,15.0,15,0.08984028897220699,1.2641814475388326e-52,0.09162968387750484,15.0
241,22.0,22,0.0901211343707599,7.667648073722e-53,0.09071795328941251,22.0
