Episode,Total Rewards,Experience,Priority,Convergence Speed,Exploration Rate,Decay Rate
167,4126.0,4126,164.65651471635618,30,0.011000000000000003,0.005988023952095809
168,4142.0,4142,165.95490035030008,15,0.011000000000000003,0.005952380952380952
169,4151.0,4151,166.91707849686944,8,0.011000000000000003,0.005917159763313609
170,4180.0,4180,168.01686005249667,28,0.011000000000000003,0.0058823529411764705
171,4206.0,4206,168.49916113878763,25,0.011000000000000003,0.005847953216374269
172,4243.0,4243,169.05720485085936,36,0.011000000000000003,0.005813953488372093
173,4254.0,4254,169.64407049532232,10,0.011000000000000003,0.005780346820809248
174,4271.0,4271,170.72672941661153,16,0.011000000000000003,0.005747126436781609
175,4286.0,4286,171.570834522533,14,0.011000000000000003,0.005714285714285714
176,4299.0,4299,171.66368922959458,12,0.011000000000000003,0.005681818181818182
177,4314.0,4314,172.1830564933691,14,0.011000000000000003,0.005649717514124294
178,4325.0,4325,173.36729167046724,10,0.011000000000000003,0.0056179775280898875
179,4348.0,4348,174.9594333421321,22,0.011000000000000003,0.00558659217877095
180,4379.0,4379,176.0242297482542,30,0.011000000000000003,0.005555555555555556
181,4395.0,4395,177.59972161385522,15,0.011000000000000003,0.0055248618784530384
182,4411.0,4411,179.2286714270473,15,0.011000000000000003,0.005494505494505495
183,4426.0,4426,179.94332583504365,14,0.011000000000000003,0.00546448087431694
184,4438.0,4438,181.26327160886697,11,0.011000000000000003,0.005434782608695652
185,4460.0,4460,181.7357237762881,21,0.011000000000000003,0.005405405405405406
186,4480.0,4480,182.52316391906112,19,0.011000000000000003,0.005376344086021506
187,4492.0,4492,182.99089872615002,11,0.011000000000000003,0.0053475935828877
188,4503.0,4503,184.51277506004115,10,0.011000000000000003,0.005319148936170213
189,4516.0,4516,186.21163844376358,12,0.011000000000000003,0.005291005291005291
190,4534.0,4534,187.05871706985127,17,0.011000000000000003,0.005263157894736842
191,4584.0,4584,188.0585050496035,49,0.011000000000000003,0.005235602094240838
192,4610.0,4610,188.61278469760705,25,0.011000000000000003,0.005208333333333333
193,4624.0,4624,189.63592946625246,13,0.011000000000000003,0.0051813471502590676
194,4637.0,4637,190.6914333850911,12,0.011000000000000003,0.005154639175257732
195,4654.0,4654,192.07244013984516,16,0.011000000000000003,0.005128205128205128
196,4711.0,4711,193.52294707259358,56,0.011000000000000003,0.00510204081632653
197,4724.0,4724,194.6276643149981,12,0.011000000000000003,0.005076142131979695
198,4765.0,4765,195.23838762422352,40,0.011000000000000003,0.005050505050505051
199,4780.0,4780,196.05805479229892,14,0.011000000000000003,0.005025125628140704
200,4795.0,4795,196.4664772565388,14,0.011000000000000003,0.005
201,4811.0,4811,197.34030032488815,15,0.011000000000000003,0.004975124378109453
202,4834.0,4834,198.5677965401298,22,0.011000000000000003,0.0049504950495049506
203,4856.0,4856,200.01765771963267,21,0.011000000000000003,0.0049261083743842365
204,4871.0,4871,201.53555332088985,14,0.011000000000000003,0.004901960784313725
205,4884.0,4884,202.43591915296184,12,0.011000000000000003,0.004878048780487805
206,4897.0,4897,203.482421316991,12,0.011000000000000003,0.0048543689320388345
207,4916.0,4916,204.5007037962568,18,0.011000000000000003,0.004830917874396135
208,4930.0,4930,205.42897515763042,13,0.011000000000000003,0.004807692307692308
209,4984.0,4984,206.6011416038197,53,0.011000000000000003,0.004784688995215311
210,5000.0,5000,207.28732419500966,15,0.011000000000000003,0.004761904761904762
211,5016.0,5016,208.69963839225622,15,0.011000000000000003,0.004739336492890996
212,5041.0,5041,209.84510603453273,24,0.011000000000000003,0.0047169811320754715
213,5064.0,5064,210.3983067626332,22,0.011000000000000003,0.004694835680751174
214,5085.0,5085,211.43432581874305,20,0.011000000000000003,0.004672897196261682
215,5112.0,5112,212.1991773719362,26,0.011000000000000003,0.004651162790697674
216,5137.0,5137,212.54638626498874,24,0.011000000000000003,0.004629629629629629
217,5153.0,5153,213.54348655637895,15,0.011000000000000003,0.004608294930875576
218,5164.0,5164,213.65776967461488,10,0.011000000000000003,0.0045871559633027525
219,5184.0,5184,214.72840769432466,19,0.011000000000000003,0.0045662100456621
220,5197.0,5197,215.17885420107683,12,0.011000000000000003,0.004545454545454545
